Tool;Data;b;g;r
f5;longEbd;0.0924536;0.122519;0.100818
f5;lowEntropyEbd;0.092411;0.122528;0.100808
f5;middleEbd;0.104607;0.14503;0.117091
f5;shortEbd;0.110765;0.156114;0.125085
jsteg;middleEbd;0.131592;0.165358;0.143337
jsteg;shortEbd;0.188088;0.222063;0.196304
outguess;middleEbd;0.103324;0.140389;0.116459
outguess;shortEbd;0.184304;0.220538;0.193721
outguess-0.13;middleEbd;0.10874;0.144026;0.121397
outguess-0.13;shortEbd;0.186483;0.221791;0.194857
steghide;binaryEbd;0.48449;0.492008;0.490055
steghide;longEbd;0.739687;0.734545;0.74146
steghide;lowEntropyEbd;0.953242;0.951266;0.953901
steghide;middleEbd;0.815383;0.810081;0.816827
steghide;shortEbd;0.947346;0.945145;0.948055

